year,state,age_group,sex,n_alc_att,total_n,pct_alc_attributable
2010,Arkansas,0-14,Female,0,10,0
2010,Arkansas,0-14,Male,0,4,0
2010,Arkansas,15–19,Female,1,14,0.07142857142857142
2010,Arkansas,15–19,Male,4,30,0.13333333333333333
2010,Arkansas,20–24,Female,5,22,0.22727272727272727
2010,Arkansas,20–24,Male,25,63,0.3968253968253968
2010,Arkansas,25–34,Female,7,24,0.2916666666666667
2010,Arkansas,25–34,Male,38,97,0.3917525773195876
2010,Arkansas,35–44,Female,6,15,0.4
2010,Arkansas,35–44,Male,23,48,0.4791666666666667
2010,Arkansas,45-54,Female,3,24,0.125
2010,Arkansas,45-54,Male,31,74,0.4189189189189189
2010,Arkansas,55-64,Female,0,12,0
2010,Arkansas,55-64,Male,11,52,0.21153846153846154
2010,Arkansas,65+,Female,0,30,0
2010,Arkansas,65+,Male,1,52,0.019230769230769232
2010,California,0-14,Female,0,33,0
2010,California,0-14,Male,1,49,0.02040816326530612
2010,California,15–19,Female,7,62,0.11290322580645161
2010,California,15–19,Male,35,135,0.25925925925925924
2010,California,20–24,Female,22,76,0.2894736842105263
2010,California,20–24,Male,117,279,0.41935483870967744
2010,California,25–34,Female,36,111,0.32432432432432434
2010,California,25–34,Male,159,337,0.47181008902077154
2010,California,35–44,Female,24,103,0.23300970873786409
2010,California,35–44,Male,102,268,0.3805970149253731
2010,California,45-54,Female,25,120,0.20833333333333334
2010,California,45-54,Male,109,314,0.3471337579617834
2010,California,55-64,Female,13,107,0.12149532710280374
2010,California,55-64,Male,64,249,0.2570281124497992
2010,California,65+,Female,3,187,0.016042780748663103
2010,California,65+,Male,17,283,0.06007067137809187
2010,Colorado,0-14,Female,0,8,0
2010,Colorado,0-14,Male,0,9,0
2010,Colorado,15–19,Female,3,15,0.2
2010,Colorado,15–19,Male,2,24,0.08333333333333333
2010,Colorado,20–24,Female,2,16,0.125
2010,Colorado,20–24,Male,18,43,0.4186046511627907
2010,Colorado,25–34,Female,6,21,0.2857142857142857
2010,Colorado,25–34,Male,23,54,0.42592592592592593
2010,Colorado,35–44,Female,3,20,0.15
2010,Colorado,35–44,Male,14,38,0.3684210526315789
2010,Colorado,45-54,Female,5,18,0.2777777777777778
2010,Colorado,45-54,Male,15,52,0.28846153846153844
2010,Colorado,55-64,Female,1,20,0.05
2010,Colorado,55-64,Male,7,47,0.14893617021276595
2010,Colorado,65+,Female,0,26,0
2010,Colorado,65+,Male,2,39,0.05128205128205128
2010,Connecticut,0-14,Female,0,1,0
2010,Connecticut,0-14,Male,0,4,0
2010,Connecticut,15–19,Female,1,7,0.14285714285714285
2010,Connecticut,15–19,Male,4,20,0.2
2010,Connecticut,20–24,Female,4,8,0.5
2010,Connecticut,20–24,Male,20,43,0.46511627906976744
2010,Connecticut,25–34,Female,5,13,0.38461538461538464
2010,Connecticut,25–34,Male,16,43,0.37209302325581395
2010,Connecticut,35–44,Female,2,12,0.16666666666666666
2010,Connecticut,35–44,Male,15,32,0.46875
2010,Connecticut,45-54,Female,2,9,0.2222222222222222
2010,Connecticut,45-54,Male,17,43,0.3953488372093023
2010,Connecticut,55-64,Female,1,11,0.09090909090909091
2010,Connecticut,55-64,Male,4,22,0.18181818181818182
2010,Connecticut,65+,Female,0,22,0
2010,Connecticut,65+,Male,1,30,0.03333333333333333
2010,Delaware,0-14,Female,0,2,0
2010,Delaware,0-14,Male,0,2,0
2010,Delaware,15–19,Female,0,5,0
2010,Delaware,15–19,Male,0,5,0
2010,Delaware,20–24,Female,3,7,0.42857142857142855
2010,Delaware,20–24,Male,5,7,0.7142857142857143
2010,Delaware,25–34,Female,1,6,0.16666666666666666
2010,Delaware,25–34,Male,5,13,0.38461538461538464
2010,Delaware,35–44,Female,2,6,0.3333333333333333
2010,Delaware,35–44,Male,1,9,0.1111111111111111
2010,Delaware,45-54,Female,2,5,0.4
2010,Delaware,45-54,Male,3,13,0.23076923076923078
2010,Delaware,55-64,Female,0,4,0
2010,Delaware,55-64,Male,1,4,0.25
2010,Delaware,65+,Female,0,1,0
2010,Delaware,65+,Male,2,12,0.16666666666666666
2010,District of Columbia,0-14,Female,0,0,NA
2010,District of Columbia,0-14,Male,0,2,0
2010,District of Columbia,15–19,Female,0,0,NA
2010,District of Columbia,15–19,Male,0,0,NA
2010,District of Columbia,20–24,Female,1,1,1
2010,District of Columbia,20–24,Male,2,3,0.6666666666666666
2010,District of Columbia,25–34,Female,0,3,0
2010,District of Columbia,25–34,Male,1,4,0.25
2010,District of Columbia,35–44,Female,0,2,0
2010,District of Columbia,35–44,Male,0,2,0
2010,District of Columbia,45-54,Female,0,1,0
2010,District of Columbia,45-54,Male,0,0,NA
2010,District of Columbia,55-64,Female,0,1,0
2010,District of Columbia,55-64,Male,1,1,1
2010,District of Columbia,65+,Female,0,2,0
2010,District of Columbia,65+,Male,0,2,0
2010,Florida,0-14,Female,0,35,0
2010,Florida,0-14,Male,0,39,0
2010,Florida,15–19,Female,4,49,0.08163265306122448
2010,Florida,15–19,Male,21,129,0.16279069767441862
2010,Florida,20–24,Female,13,76,0.17105263157894737
2010,Florida,20–24,Male,60,203,0.2955665024630542
2010,Florida,25–34,Female,23,85,0.27058823529411763
